id,usuario_id,direccion,distrito,ciudad,pais,es_principal
31,31,Jr. Ronda de Maximiano Acero 10,Villa El Salvador,Lima,Perú,true
32,32,Pasaje Glorieta Diego Fiol 34,La Molina,Lima,Perú,true
33,33,Psje. Avenida de Alfredo Llobet 51,San Borja,Lima,Perú,true
34,34,Ca. Via de Salomé Cortes 10,San Isidro,Lima,Perú,true
35,35,Av. Paseo de Maxi Pedraza 809,Villa María del Triunfo,Lima,Perú,true
36,36,Ca. Ronda de Ramón Escalona 56,Miraflores,Lima,Perú,true
37,37,Av. Callejón Nazario Nebot 61,Ate,Lima,Perú,true
38,38,Jr. Callejón Fernando Conde 745,Rímac,Lima,Perú,true
39,39,Av. Via de Ale Heras 5,Barranco,Lima,Perú,true
40,40,Pasaje Cañada Samuel Moya 26,La Molina,Lima,Perú,true
41,41,Pasaje Cuesta de Nicolás Nuñez 8,La Molina,Lima,Perú,true
42,42,Ca. Ronda de Anselmo Matas 32,Santa Anita,Lima,Perú,true
43,43,Pasaje Avenida de Blas Blazquez 13,Callao,Lima,Perú,true
44,44,Jr. C. Cayetana Villena 87,Cercado de Lima,Lima,Perú,true
45,45,Ca. Ronda Celso Pedrosa 34,Los Olivos,Lima,Perú,true
46,46,Av. Via de Bernardo Amorós 273,San Martín de Porres,Lima,Perú,true
47,47,Psje. Glorieta de Felipa Arnal 39,La Molina,Lima,Perú,true
48,48,Av. C. de Porfirio Corbacho 8,San Borja,Lima,Perú,true
49,49,Pasaje Ronda de Saturnina Vázquez 85,San Martín de Porres,Lima,Perú,true
50,50,Ca. Paseo Emilia Gilabert 6,Villa María del Triunfo,Lima,Perú,true
51,51,Ca. Alameda de Andrés Felipe Zapata 34,Callao,Lima,Perú,true
52,52,Pasaje Cuesta de Blas Blazquez 401,San Borja,Lima,Perú,true
53,53,Jr. Plaza de Martina Sanabria 32,Santa Anita,Lima,Perú,true
54,54,Psje. Pasadizo de Roberto Vallés 2,Villa El Salvador,Lima,Perú,true
55,55,Pasaje Ronda Vicenta Fábregas 78,San Martín de Porres,Lima,Perú,true
56,56,Psje. Plaza Gala Abad 94,Cercado de Lima,Lima,Perú,true
57,57,Calle Avenida de Ana Juárez 76,Callao,Lima,Perú,true
58,58,Jr. Vial Jorge Madrid 10,San Martín de Porres,Lima,Perú,true
59,59,Psje. Cuesta Tania Bilbao 75,San Isidro,Lima,Perú,true
60,60,Pasaje C. de Álvaro Arévalo 8,San Borja,Lima,Perú,true
61,61,Jr. Vial Eva María Morante 9,Santa Anita,Lima,Perú,true
62,62,Calle C. Miguela Trujillo 1,Ate,Lima,Perú,true
63,63,Ca. Alameda de Florina Casanova 742,Pueblo Libre,Lima,Perú,true
64,64,Ca. Pasadizo Rosalinda Fajardo 7,Comas,Lima,Perú,true
65,65,Calle Pasaje Pepe Benet 1,San Martín de Porres,Lima,Perú,true
66,66,Calle Pasadizo Griselda Garzón 91,Villa María del Triunfo,Lima,Perú,true
67,67,Pasaje Pasadizo de Marcos Carballo 76,Surco,Lima,Perú,true
68,68,Jr. Avenida de Conrado Ribes 80,Los Olivos,Lima,Perú,true
69,69,Ca. Plaza de Anabel Morata 61,Surco,Lima,Perú,true
70,70,Jr. Plaza de Onofre Oliveras 40,San Miguel,Lima,Perú,true
71,71,Jr. Glorieta Abraham Fuentes 1,Pueblo Libre,Lima,Perú,true
72,72,Calle Urbanización Rosa María Cifuentes 27,San Martín de Porres,Lima,Perú,true
73,73,Calle Vial de Amaro Galindo 85,Pueblo Libre,Lima,Perú,true
74,74,Calle Rambla de Dorita Berrocal 9,Cercado de Lima,Lima,Perú,true
75,75,Calle C. Tomasa Collado 63,Independencia,Lima,Perú,true
76,76,Av. Rambla Lupe Perales 30,Ate,Lima,Perú,true
77,77,Jr. Avenida de Julia Beltran 56,Rímac,Lima,Perú,true
78,78,Psje. Camino Telmo Martí 41,Comas,Lima,Perú,true
79,79,Ca. Pasadizo de Bautista Peñalver 70,Jesús María,Lima,Perú,true
80,80,Psje. Acceso Lázaro Sotelo 3,La Molina,Lima,Perú,true
81,81,Calle Paseo Eloísa Correa 36,Los Olivos,Lima,Perú,true
82,82,Psje. Urbanización Wilfredo Niño 825,Santa Anita,Lima,Perú,true
83,83,Ca. Cuesta Marisol Frías 80,Ate,Lima,Perú,true
84,84,Psje. Glorieta Marc Carbó 38,Los Olivos,Lima,Perú,true
85,85,Ca. Avenida de Irene Valenciano 78,Magdalena,Lima,Perú,true
86,86,Ca. Via Julián Armas 5,Callao,Lima,Perú,true
87,87,Pasaje Pasaje de Cristian Iriarte 44,Ate,Lima,Perú,true
88,88,Jr. Avenida Mónica Jáuregui 68,La Molina,Lima,Perú,true
89,89,Pasaje Rambla Borja Ribera 94,San Borja,Lima,Perú,true
90,90,Pasaje Paseo Cruz Reig 564,Comas,Lima,Perú,true
91,91,Calle Rambla Duilio Carreño 86,San Borja,Lima,Perú,true
92,92,Pasaje Acceso de Evelia Suárez 83,San Martín de Porres,Lima,Perú,true
93,93,Ca. Cuesta de Florinda Barrena 34,San Martín de Porres,Lima,Perú,true
94,94,Jr. Plaza Pedro Soto 90,Surco,Lima,Perú,true
95,95,Ca. C. Adolfo Paniagua 2,Ate,Lima,Perú,true
96,96,Jr. Cañada de Lucía González 59,Chorrillos,Lima,Perú,true
97,97,Jr. Pasaje de Lilia Murillo 62,Los Olivos,Lima,Perú,true
98,98,Ca. Vial de Victorino Coloma 452,Barranco,Lima,Perú,true
99,99,Psje. C. de Teófilo Téllez 43,Comas,Lima,Perú,true
100,100,Av. C. Anastasio Guillén 3,San Miguel,Lima,Perú,true
101,101,Jr. Urbanización Emiliana Martorell 518,San Miguel,Lima,Perú,true
102,102,Psje. Calle de Evelia Villalonga 869,San Martín de Porres,Lima,Perú,true
103,103,Calle Glorieta de Nicolás Larrañaga 1,San Isidro,Lima,Perú,true
104,104,Av. Plaza de Luis Miguel Aguilar 71,Villa El Salvador,Lima,Perú,true
105,105,Av. Paseo de África Giner 63,Ate,Lima,Perú,true
106,106,Jr. Alameda Mohamed Sarmiento 14,Independencia,Lima,Perú,true
107,107,Jr. Acceso Cecilio Gallego 453,Magdalena,Lima,Perú,true
108,108,Ca. Cañada de Asunción Planas 67,Villa María del Triunfo,Lima,Perú,true
109,109,Av. Cañada Carmina Belmonte 8,San Martín de Porres,Lima,Perú,true
110,110,Ca. Calle de Yéssica Revilla 87,La Molina,Lima,Perú,true
111,111,Jr. Urbanización Conrado Corral 83,Ate,Lima,Perú,true
112,112,Jr. Paseo de Marisela Prado 3,Lince,Lima,Perú,true
113,113,Psje. Vial Priscila Lorenzo 75,La Molina,Lima,Perú,true
114,114,Pasaje Paseo de Modesta Fortuny 97,Ate,Lima,Perú,true
115,115,Psje. Callejón de Jesús Alegre 2,Barranco,Lima,Perú,true
116,116,Ca. Urbanización de Isaías Luís 9,Independencia,Lima,Perú,true
117,117,Psje. Via Rodrigo Llamas 6,Lince,Lima,Perú,true
118,118,Ca. Urbanización de Manola Heredia 9,Pueblo Libre,Lima,Perú,true
119,119,Ca. Urbanización de Raúl Tenorio 39,San Borja,Lima,Perú,true
120,120,Jr. Acceso de Delfina Amaya 36,Barranco,Lima,Perú,true
121,121,Pasaje Vial María Del Carmen Fábregas 49,Lince,Lima,Perú,true
122,122,Ca. Urbanización Martirio Planas 39,Santa Anita,Lima,Perú,true
123,123,Psje. Plaza Belen Palmer 57,Miraflores,Lima,Perú,true
124,124,Av. Cuesta Nydia Terrón 551,San Borja,Lima,Perú,true
125,125,Pasaje Glorieta de Paca Moliner 16,Chorrillos,Lima,Perú,true
126,126,Jr. Urbanización de Olegario Sainz 64,Villa El Salvador,Lima,Perú,true
127,127,Av. Plaza de Pelayo Barragán 15,San Martín de Porres,Lima,Perú,true
128,128,Ca. Plaza Jose Antonio Arrieta 4,Santa Anita,Lima,Perú,true
129,129,Calle Calle Onofre Rocamora 83,Los Olivos,Lima,Perú,true
130,130,Av. Cañada de Galo Mulet 16,Los Olivos,Lima,Perú,true
131,131,Calle Calle de Clara Casado 36,Miraflores,Lima,Perú,true
132,132,Pasaje Pasadizo Priscila Colomer 6,Lince,Lima,Perú,true
133,133,Av. Plaza Noelia Domingo 721,Ate,Lima,Perú,true
134,134,Jr. Vial de Encarnacion Arjona 75,Miraflores,Lima,Perú,true
135,135,Ca. Cuesta Chuy Palma 82,Lince,Lima,Perú,true
136,136,Pasaje Rambla de Magdalena Quiroga 84,Callao,Lima,Perú,true
137,137,Jr. Pasadizo de Valentina Maldonado 970,Cercado de Lima,Lima,Perú,true
138,138,Pasaje Calle de Xavier Prats 7,San Miguel,Lima,Perú,true
139,139,Psje. Plaza Leandro Aramburu 59,Villa El Salvador,Lima,Perú,true
140,140,Av. C. de Perlita Iglesia 61,Lince,Lima,Perú,true
141,141,Pasaje Rambla de Yésica Coronado 10,Cercado de Lima,Lima,Perú,true
142,142,Av. Acceso de Lupe Marcos 77,Ate,Lima,Perú,true
143,143,Psje. Plaza Modesta Chico 307,Jesús María,Lima,Perú,true
144,144,Jr. Callejón de Mariana Expósito 9,Los Olivos,Lima,Perú,true
145,145,Calle Pasadizo Fortunato Barroso 29,Independencia,Lima,Perú,true
146,146,Ca. Ronda de Juan Pablo Merino 70,Villa María del Triunfo,Lima,Perú,true
147,147,Calle Paseo de Belen Monreal 73,San Borja,Lima,Perú,true
148,148,Jr. Camino Rodrigo Paniagua 90,Los Olivos,Lima,Perú,true
149,149,Ca. Plaza Porfirio Ángel 63,Santa Anita,Lima,Perú,true
150,150,Ca. Plaza de Lupe Ibañez 334,Los Olivos,Lima,Perú,true
151,151,Jr. Urbanización de Mar Sancho 313,Comas,Lima,Perú,true
152,152,Jr. C. de Lalo Iriarte 65,Surco,Lima,Perú,true
153,153,Calle Cuesta Aitor Iglesia 76,Los Olivos,Lima,Perú,true
154,154,Ca. Calle de Dafne Sola 39,Cercado de Lima,Lima,Perú,true
155,155,Ca. Alameda de Paca Amador 97,San Borja,Lima,Perú,true
156,156,Jr. Camino Rosaura Olivera 20,Chorrillos,Lima,Perú,true
157,157,Ca. Paseo Adriana Aroca 60,Callao,Lima,Perú,true
158,158,Av. Ronda de Herminia Cisneros 526,Independencia,Lima,Perú,true
159,159,Jr. Vial Teodora Cañete 90,San Isidro,Lima,Perú,true
160,160,Pasaje Rambla de Omar Blanch 9,Barranco,Lima,Perú,true
161,161,Calle Callejón Nacio Izaguirre 88,San Borja,Lima,Perú,true
162,162,Psje. Calle Evelia Elorza 205,Chorrillos,Lima,Perú,true
163,163,Ca. Urbanización de Octavia Segarra 325,San Martín de Porres,Lima,Perú,true
164,164,Pasaje Paseo Celestino Villaverde 20,La Molina,Lima,Perú,true
165,165,Psje. Camino de Vito Narváez 68,Santa Anita,Lima,Perú,true
166,166,Jr. Alameda Ángela Alsina 12,Jesús María,Lima,Perú,true
167,167,Pasaje Calle Severiano Barrios 16,Ate,Lima,Perú,true
168,168,Ca. Acceso Zaida Berenguer 80,San Miguel,Lima,Perú,true
169,169,Pasaje Cañada de Chus Santiago 12,Comas,Lima,Perú,true
170,170,Calle C. Bernardo Pallarès 2,Miraflores,Lima,Perú,true
171,171,Calle Rambla Sancho Alcalde 97,Villa María del Triunfo,Lima,Perú,true
172,172,Psje. Avenida de Rosa Aznar 164,Santa Anita,Lima,Perú,true
173,173,Pasaje Avenida Nazario Palmer 8,San Isidro,Lima,Perú,true
174,174,Av. Calle de Aarón Peñas 92,Villa María del Triunfo,Lima,Perú,true
175,175,Av. Rambla Melisa Cuenca 69,Miraflores,Lima,Perú,true
176,176,Psje. Calle de Jaime Hernandez 35,Lince,Lima,Perú,true
177,177,Calle Rambla Selena Rivero 35,Callao,Lima,Perú,true
178,178,Pasaje Rambla Dalila Adán 32,Miraflores,Lima,Perú,true
179,179,Jr. Pasadizo de Abraham Arenas 2,Cercado de Lima,Lima,Perú,true
180,180,Pasaje Vial Ignacia Pino 7,Los Olivos,Lima,Perú,true
181,181,Pasaje Urbanización de Ágata Cervera 48,Rímac,Lima,Perú,true
182,182,Psje. Vial Saturnino Orozco 7,Los Olivos,Lima,Perú,true
183,183,Av. C. de Jafet Prat 77,Cercado de Lima,Lima,Perú,true
184,184,Jr. Callejón de Sonia Zurita 18,Ate,Lima,Perú,true
185,185,Pasaje Urbanización de Leoncio Arjona 256,Rímac,Lima,Perú,true
186,186,Jr. C. Amando Robledo 26,Villa María del Triunfo,Lima,Perú,true
187,187,Psje. Rambla de Fortunato Niño 36,Cercado de Lima,Lima,Perú,true
188,188,Calle Acceso Onofre Clavero 97,San Isidro,Lima,Perú,true
189,189,Av. Rambla de Loreto Morata 16,Pueblo Libre,Lima,Perú,true
190,190,Pasaje Calle de Isabel Reguera 46,San Miguel,Lima,Perú,true
191,191,Av. Via Emperatriz Palau 70,Cercado de Lima,Lima,Perú,true
192,192,Psje. Avenida de Felisa Bermejo 98,San Borja,Lima,Perú,true
193,193,Av. Glorieta Fidel Gracia 9,San Borja,Lima,Perú,true
194,194,Psje. Cañada de Lilia Naranjo 7,Magdalena,Lima,Perú,true
195,195,Av. Pasadizo de Natanael Coca 58,Lince,Lima,Perú,true
196,196,Psje. C. de Adriana Vidal 76,La Molina,Lima,Perú,true
197,197,Ca. Vial Adelardo Villar 4,Ate,Lima,Perú,true
198,198,Ca. Callejón Jennifer Domingo 11,Miraflores,Lima,Perú,true
199,199,Jr. Cuesta de Maximino Campoy 55,Villa El Salvador,Lima,Perú,true
200,200,Psje. Rambla Chita Bermejo 320,Independencia,Lima,Perú,true
201,201,Psje. Pasaje Leandra Quirós 30,Callao,Lima,Perú,true
202,202,Av. Camino de Balduino Perez 7,Jesús María,Lima,Perú,true
203,203,Av. Calle de Alexandra Cal 88,Rímac,Lima,Perú,true
204,204,Ca. Cuesta de Juan Manuel Escrivá 68,Barranco,Lima,Perú,true
205,205,Calle Pasaje Bruno Bayona 76,Rímac,Lima,Perú,true
206,206,Jr. Cuesta de Jeremías Cantero 62,La Molina,Lima,Perú,true
207,207,Av. Vial Delia Fiol 1,Callao,Lima,Perú,true
208,208,Pasaje Via de Ainara Olivera 11,Lince,Lima,Perú,true
209,209,Av. Cañada de Leonardo Gomila 8,San Miguel,Lima,Perú,true
210,210,Pasaje Avenida de Casemiro Mayol 663,Callao,Lima,Perú,true
211,211,Av. Cañada Heraclio Teruel 74,Ate,Lima,Perú,true
212,212,Av. C. Pedro Vall 63,Santa Anita,Lima,Perú,true
213,213,Calle Callejón de Plinio Pérez 81,Pueblo Libre,Lima,Perú,true
214,214,Jr. Vial de Omar Hervia 85,Lince,Lima,Perú,true
215,215,Jr. C. de Abril Vilanova 49,Villa El Salvador,Lima,Perú,true
216,216,Psje. Cuesta de Joan Miranda 801,Jesús María,Lima,Perú,true
217,217,Psje. Ronda Atilio Arjona 51,Chorrillos,Lima,Perú,true
218,218,Ca. Rambla de Daniel Escrivá 40,San Isidro,Lima,Perú,true
219,219,Jr. Paseo de Adalberto Castilla 4,Surco,Lima,Perú,true
220,220,Ca. Glorieta de Regina Abellán 296,Rímac,Lima,Perú,true
221,221,Av. Urbanización Íngrid Ribes 17,Los Olivos,Lima,Perú,true
222,222,Av. Calle de Encarnación Leon 6,Villa María del Triunfo,Lima,Perú,true
223,223,Calle Pasaje de Felipa Cañizares 581,La Molina,Lima,Perú,true
224,224,Ca. Callejón Amado Cifuentes 426,Cercado de Lima,Lima,Perú,true
225,225,Ca. Glorieta de Tadeo Verdejo 218,Villa María del Triunfo,Lima,Perú,true
226,226,Psje. Pasadizo Teodora Salvà 82,Rímac,Lima,Perú,true
227,227,Calle Ronda José Manuel Pi 9,Jesús María,Lima,Perú,true
228,228,Av. Urbanización de Pascual Terrón 80,Miraflores,Lima,Perú,true
229,229,Pasaje Pasaje de Jacobo Román 84,San Martín de Porres,Lima,Perú,true
230,230,Av. Pasaje Loreto Palomino 39,Independencia,Lima,Perú,true
231,231,Ca. Glorieta Marcelo Villaverde 1,San Borja,Lima,Perú,true
232,232,Calle Alameda Ruth Cueto 46,Los Olivos,Lima,Perú,true
233,233,Psje. Rambla Rosendo Arévalo 48,Jesús María,Lima,Perú,true
234,234,Av. Vial de Evita Uriarte 839,San Isidro,Lima,Perú,true
235,235,Av. Alameda de Cayetana Ferrándiz 1,San Isidro,Lima,Perú,true
236,236,Av. Pasaje Sandra Goicoechea 9,Los Olivos,Lima,Perú,true
237,237,Ca. Alameda de Ana Fernandez 95,San Miguel,Lima,Perú,true
238,238,Ca. C. de Valentín Moll 31,Lince,Lima,Perú,true
239,239,Jr. C. Abril Gallo 10,Callao,Lima,Perú,true
240,240,Av. Ronda Delfina Reina 330,Independencia,Lima,Perú,true
241,241,Ca. Cañada de Ricardo Batalla 8,Miraflores,Lima,Perú,true
242,242,Av. Acceso de Mateo Blanes 4,Ate,Lima,Perú,true
243,243,Jr. Vial de Adela Jordán 8,Magdalena,Lima,Perú,true
244,244,Av. C. de Marcia Velázquez 53,Surco,Lima,Perú,true
245,245,Jr. Alameda Eugenia Toro 9,San Martín de Porres,Lima,Perú,true
246,246,Psje. C. de Luisina Amador 7,Ate,Lima,Perú,true
247,247,Ca. Vial Sonia Anguita 7,Lince,Lima,Perú,true
248,248,Jr. Callejón de Rodrigo Carlos 64,Ate,Lima,Perú,true
249,249,Ca. Paseo Camila Barreda 98,Miraflores,Lima,Perú,true
250,250,Av. Plaza de Febe Jordá 62,La Molina,Lima,Perú,true
251,251,Pasaje Avenida de José Calvet 319,San Martín de Porres,Lima,Perú,true
252,252,Jr. Acceso Cleto Gaya 73,Chorrillos,Lima,Perú,true
253,253,Pasaje Acceso de Fausto Leon 48,Chorrillos,Lima,Perú,true
254,254,Psje. Vial de Leonel Abad 6,Pueblo Libre,Lima,Perú,true
255,255,Ca. Calle de Cesar Alcalá 31,Villa María del Triunfo,Lima,Perú,true
256,256,Calle Pasadizo Casandra Olivares 71,Independencia,Lima,Perú,true
257,257,Pasaje Via de Cecilio Sierra 52,Lince,Lima,Perú,true
258,258,Ca. Cañada de Amílcar Alsina 5,Surco,Lima,Perú,true
259,259,Ca. Alameda de Carla Madrigal 4,Villa María del Triunfo,Lima,Perú,true
260,260,Pasaje Callejón Edelmira Barba 56,Cercado de Lima,Lima,Perú,true
261,261,Av. Alameda de Visitación Tovar 71,San Miguel,Lima,Perú,true
262,262,Av. Urbanización Lara Tejada 40,Surco,Lima,Perú,true
263,263,Calle Rambla Vera Castells 60,Independencia,Lima,Perú,true
264,264,Psje. Pasadizo Jose Manuel Valero 74,Los Olivos,Lima,Perú,true
265,265,Psje. Rambla Leire Zamora 43,San Borja,Lima,Perú,true
266,266,Av. Vial de Gilberto Ibáñez 402,Los Olivos,Lima,Perú,true
267,267,Ca. Urbanización Marta Castells 923,Pueblo Libre,Lima,Perú,true
268,268,Ca. Pasaje Montserrat Folch 7,Barranco,Lima,Perú,true
269,269,Psje. Glorieta de Rogelio Zorrilla 31,Surco,Lima,Perú,true
270,270,Pasaje Avenida Agustín Herrero 57,Los Olivos,Lima,Perú,true
271,271,Calle Callejón de Lucila Benito 49,Chorrillos,Lima,Perú,true
272,272,Jr. Pasadizo Nydia Bautista 83,Villa María del Triunfo,Lima,Perú,true
273,273,Ca. Pasadizo Luis Miguel Alcalde 625,San Miguel,Lima,Perú,true
274,274,Calle Vial de Alonso Tello 79,Jesús María,Lima,Perú,true
275,275,Psje. Pasaje de Emilio Talavera 65,Santa Anita,Lima,Perú,true
276,276,Pasaje C. de Cristina Quero 449,Chorrillos,Lima,Perú,true
277,277,Psje. Callejón Aroa Diego 929,Rímac,Lima,Perú,true
278,278,Pasaje Alameda de Juan Antonio Rosselló 97,San Isidro,Lima,Perú,true
279,279,Ca. Callejón Álvaro Bayona 4,Ate,Lima,Perú,true
280,280,Jr. Plaza de Paola Gascón 39,Villa El Salvador,Lima,Perú,true
281,281,Calle Plaza de Ileana Alegre 3,Pueblo Libre,Lima,Perú,true
282,282,Av. Cuesta de Mamen Parejo 71,La Molina,Lima,Perú,true
283,283,Ca. Rambla Alberto Llamas 73,Chorrillos,Lima,Perú,true
284,284,Calle Rambla Anabel Corbacho 798,Cercado de Lima,Lima,Perú,true
285,285,Ca. Plaza Baltasar Rubio 902,Surco,Lima,Perú,true
286,286,Psje. Alameda de Evita Fajardo 6,San Borja,Lima,Perú,true
287,287,Calle Cuesta de Alicia Muro 81,Barranco,Lima,Perú,true
288,288,Jr. Paseo de Lidia Quiroga 376,Ate,Lima,Perú,true
289,289,Psje. Via Daniela Cantón 57,Villa El Salvador,Lima,Perú,true
290,290,Ca. Ronda Juan Francisco Llorente 6,Independencia,Lima,Perú,true
291,291,Pasaje Plaza Apolinar Alcolea 71,Callao,Lima,Perú,true
292,292,Psje. Alameda Evelia Checa 7,Santa Anita,Lima,Perú,true
293,293,Pasaje Calle Hugo Revilla 1,Ate,Lima,Perú,true
294,294,Psje. Paseo Lupe Martinez 96,San Isidro,Lima,Perú,true
295,295,Ca. Paseo de Espiridión Castejón 39,Surco,Lima,Perú,true
296,296,Pasaje Cañada de Julio Iriarte 16,Santa Anita,Lima,Perú,true
297,297,Jr. Plaza Feliciana Luís 92,San Borja,Lima,Perú,true
298,298,Jr. Plaza de Manu Morales 25,Surco,Lima,Perú,true
299,299,Calle Callejón Virgilio Mármol 97,Independencia,Lima,Perú,true
300,300,Jr. Alameda Valentín Pla 88,Rímac,Lima,Perú,true
301,301,Psje. Urbanización Ernesto Pulido 252,San Borja,Lima,Perú,true
302,302,Av. C. Filomena Carmona 9,Magdalena,Lima,Perú,true
303,303,Pasaje Acceso de Graciela Tapia 69,Villa El Salvador,Lima,Perú,true
304,304,Pasaje Pasadizo de Onofre Guerra 606,Jesús María,Lima,Perú,true
305,305,Pasaje Urbanización Consuelo Benítez 61,Los Olivos,Lima,Perú,true
306,306,Pasaje Paseo Amado Villena 610,San Isidro,Lima,Perú,true
307,307,Calle Alameda Julio César Torre 16,Santa Anita,Lima,Perú,true
308,308,Av. Acceso de Isabela Cuevas 8,Independencia,Lima,Perú,true
309,309,Ca. C. Josefa Maestre 173,Villa María del Triunfo,Lima,Perú,true
310,310,Psje. Pasaje Maxi Mosquera 39,Independencia,Lima,Perú,true
311,311,Psje. Urbanización de Rafa Piquer 43,Magdalena,Lima,Perú,true
312,312,Av. Pasaje de Jordán Nebot 425,San Borja,Lima,Perú,true
313,313,Calle Paseo Julie Carbó 47,Villa María del Triunfo,Lima,Perú,true
314,314,Av. Urbanización de Leire Borrego 573,Callao,Lima,Perú,true
315,315,Calle Acceso Rafaela Ramos 10,Chorrillos,Lima,Perú,true
316,316,Av. Paseo Álvaro Berrocal 58,Villa María del Triunfo,Lima,Perú,true
317,317,Psje. Alameda de Regina Pol 2,San Isidro,Lima,Perú,true
318,318,Calle Callejón Encarnacion Ríos 78,San Martín de Porres,Lima,Perú,true
319,319,Calle Avenida Lucila Bernat 9,Miraflores,Lima,Perú,true
320,320,Ca. Via de Valentina Gutierrez 1,La Molina,Lima,Perú,true
321,321,Ca. Avenida de Olalla Posada 99,Chorrillos,Lima,Perú,true
322,322,Calle Rambla de Violeta Espejo 332,Lince,Lima,Perú,true
323,323,Calle Cañada de Espiridión Linares 31,Villa El Salvador,Lima,Perú,true
324,324,Psje. Glorieta Sabina Alemany 88,Villa El Salvador,Lima,Perú,true
325,325,Av. Avenida de Tomasa Lorenzo 330,Chorrillos,Lima,Perú,true
326,326,Ca. Ronda Edu Codina 18,Independencia,Lima,Perú,true
327,327,Calle Rambla Yago Moliner 53,Villa El Salvador,Lima,Perú,true
328,328,Ca. Via Pancho Trillo 95,Cercado de Lima,Lima,Perú,true
329,329,Calle Cañada Carmina Poza 3,Callao,Lima,Perú,true
330,330,Jr. Pasadizo Reyes Chacón 72,Magdalena,Lima,Perú,true
331,331,Ca. Rambla Mamen Bayona 67,Callao,Lima,Perú,true
332,332,Pasaje Acceso Perla Porta 38,Villa María del Triunfo,Lima,Perú,true
333,333,Ca. Calle Marcos Salcedo 496,Comas,Lima,Perú,true
334,334,Av. Avenida de Cleto Quesada 9,Villa El Salvador,Lima,Perú,true
335,335,Psje. Calle Heriberto Guijarro 71,Los Olivos,Lima,Perú,true
336,336,Jr. Pasadizo Heliodoro Gil 41,La Molina,Lima,Perú,true
337,337,Pasaje Glorieta Carmelita Vizcaíno 769,Santa Anita,Lima,Perú,true
338,338,Calle Plaza de Pascual Ojeda 40,Comas,Lima,Perú,true
339,339,Av. Plaza Eric Guzmán 27,Ate,Lima,Perú,true
340,340,Calle C. de Nando Martorell 2,San Martín de Porres,Lima,Perú,true
341,341,Calle Urbanización Rosalinda Cerdán 13,San Martín de Porres,Lima,Perú,true
342,342,Calle Pasadizo Rafaela Pellicer 91,Jesús María,Lima,Perú,true
343,343,Calle Acceso Vera Feliu 94,Villa María del Triunfo,Lima,Perú,true
344,344,Psje. C. de Andrés Felipe Clavero 51,Santa Anita,Lima,Perú,true
345,345,Ca. Pasadizo Godofredo Tovar 32,Cercado de Lima,Lima,Perú,true
346,346,Psje. Glorieta de Demetrio Cruz 97,Los Olivos,Lima,Perú,true
347,347,Av. Cañada Maricela Soriano 215,La Molina,Lima,Perú,true
348,348,Psje. Pasadizo Aristides Andrés 517,Cercado de Lima,Lima,Perú,true
349,349,Calle Rambla de Jordán Carro 882,Santa Anita,Lima,Perú,true
